#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Kb)	GC%	Host	Segmemts	Genes	Proteins	Release Date	Modify Date	Status
Porcine enteric sapovirus	106333	PRJNA14653	14653	ssRNA viruses	Caliciviridae	7.32	53.5	vertebrates, human	 Unknown:NC_000940.1/AF182760.1	2	2	1999/10/31	2016/03/28	Complete Genome
Human T-lymphotropic virus 2	11909	PRJNA14663	14663	Other	Retroviridae	8.952	53.8	vertebrates	 Unknown:NC_001488.1/M10060.1	5	5	1993/08/02	2016/10/07	Complete Genome
Chicory yellow mottle virus large satellite RNA	192021	PRJNA14798	14798	Satellites	unclassified	1.165	50.6	plants	 Unknown:NC_003778.1/D00686.1	1	1	1993/04/29	2013/08/14	Complete Genome
Calicivirus strain NB	190239	PRJNA14845	14845	ssRNA viruses	Caliciviridae	7.453	56.6	vertebrates	 Unknown:NC_004064.1/AY082891.1	2	2	2002/07/01	2016/03/29	Complete Genome
Influenza A virus (A/New York/392/2004(H3N2))	335341	PRJNA15622	15622	ssRNA viruses	Orthomyxoviridae	13.627	42.9178	vertebrates, human	 segment 1:NC_007373.1/CY002071.1;  segment 2:NC_007372.1/CY002070.1;  segment 3:NC_007371.1/CY002069.1;  segment 4:NC_007366.1/CY002064.1;  segment 5:NC_007369.1/CY002067.1;  segment 6:NC_007368.1/CY002066.1;  segment 7:NC_007367.1/CY002065.1;  segment 8:NC_007370.1/CY002068.1	12	12	2005/08/01	2015/02/06	Complete Genome
Mammalian orthoreovirus 3	538123	PRJNA262089	262089	dsRNA viruses	Reoviridae	23.176	47.022	vertebrates	 segment  L1:NC_013225.1/GQ468266.1;  segment  L2:NC_013226.1/GQ468267.1;  segment  L3:NC_013229.1/GQ468270.1;  segment  M1:NC_013227.1/GQ468268.1;  segment  S1:NC_013231.1/GQ468272.1;  segment  S3:NC_013233.1/GQ468274.1;  segment M2:NC_013228.1/GQ468269.1;  segment M3:NC_013230.1/GQ468271.1;  segment S2:NC_013232.1/GQ468273.1;  segment S4:NC_013234.1/GQ468275.1	11	11	2009/09/09	2015/11/12	Complete Genome
Simian immunodeficiency virus	11723	PRJNA15501	15501	Other	Retroviridae	9.623	44.4	vertebrates	 Unknown:NC_001549.1/M58410.1	7	6	1991/03/01	2013/02/10	Complete Genome
Moloney murine leukemia virus	11801	PRJNA15030	15030	Other	Retroviridae	8.332	53	vertebrates	 Unknown:NC_001501.1/AF033811.1	5	3	1998/01/21	2017/11/20	Complete Genome
Foot-and-mouth disease virus - type O	12118	PRJNA15378	15378	ssRNA viruses	Picornaviridae	8.134	55.3	vertebrates	 Unknown:NC_004004.1/AF308157.1	1	1	2001/01/03	2013/05/07	Complete Genome
Feline infectious peritonitis virus	11135	PRJNA15097	15097	ssRNA viruses	Coronaviridae	29.355	38.1	vertebrates	 Unknown:NC_002306.3/AY994055.1	10	9	2000/05/11	2013/12/13	Complete Genome
African swine fever virus	10497	PRJNA15242	15242	dsDNA viruses, no RNA stage	Asfarviridae	170.101	38.9	vertebrates, invertebrates	 Unknown:NC_001659.2/U18466.2	152	152	1995/04/22	2014/11/19	Complete Genome
Prochlorococcus virus PSSP7	268748	PRJNA15134	15134	dsDNA viruses, no RNA stage	Podoviridae	45.176	38.8	bacteria	 Unknown:NC_006882.2/AY939843.2	58	58	2005/03/21	2012/05/31	Complete Genome
Prochlorococcus phage P-SSM2	268746	PRJNA15135	15135	dsDNA viruses, no RNA stage	Myoviridae	252.401	35.5	bacteria	 Unknown:NC_006883.2/AY939844.2	335	334	2005/03/21	2011/12/12	Complete Genome
Murine hepatitis virus	11138	PRJNA15350	15350	ssRNA viruses	Coronaviridae	31.357	41.8	vertebrates	 Unknown:NC_001846.1/AF029248.1	4	5	1997/11/22	2016/03/29	Complete Genome
Cotton leaf curl Gezira betasatellite	304222	PRJNA15166	15166	Satellites	Tolecusatellitidae	1.348	37.6	plants	 Unknown:NC_006935.1/AY077797.1	1	1	2003/02/01	2016/03/28	Complete Genome
Salmon pancreas disease virus	84589	PRJNA15187	15187	ssRNA viruses	Togaviridae	11.919	56.5	vertebrates, invertebrates	 Unknown:NC_003930.1/AJ316244.1	12	3	2002/05/28	2012/06/27	Complete Genome
Equine rhinitis B virus 1	47001	PRJNA15206	15206	ssRNA viruses	Picornaviridae	8.828	48.8	vertebrates	 Unknown:NC_003983.1/X96871.1	1	1	1996/04/12	2013/05/28	Complete Genome
Human alphaherpesvirus 2	10310	PRJNA15218	15218	dsDNA viruses, no RNA stage	Herpesviridae	154.675	70.4	vertebrates, human	 Unknown:NC_001798.2/JN561323.2	79	77	1997/02/27	2016/05/16	Complete Genome
Small anellovirus 1	289366	PRJNA15252	15252	ssDNA viruses	Anelloviridae	2.249	38.2	vertebrates, human	 Unknown:NC_007013.1/AY622908.1	3	3	2005/05/01	2007/05/22	Complete Genome
Dengue virus 2 Thailand/16681/84	31634	PRJNA20183	20183	ssRNA viruses	Flaviviridae	10.723	45.8	vertebrates, invertebrates, human	 Unknown:NC_001474.2/U87411.1	1	1	1993/08/02	2015/09/15	Complete Genome
Hepatitis C virus subtype 1a	31646	PRJNA15432	15432	ssRNA viruses	Flaviviridae	9.646	58.2	vertebrates, human	 Unknown:NC_004102.1/AF009606.1	2	2	1997/08/09	2017/12/07	Complete Genome
Human poliovirus 1 Mahoney	12081	PRJNA15288	15288	ssRNA viruses	Picornaviridae	7.44	46.3	vertebrates, human	 Unknown:NC_002058.3/V01149.1	1	1	1982/11/03	2016/10/20	Complete Genome
Infectious bronchitis virus	11120	PRJNA15303	15303	ssRNA viruses	Coronaviridae	27.608	37.9	vertebrates	 Unknown:NC_001451.1/M95169.1	6	10	1993/06/12	2015/02/10	Complete Genome
Coxsackievirus B1	12071	PRJNA15321	15321	ssRNA viruses	Picornaviridae	7.389	47.2	vertebrates, human	 Unknown:NC_001472.1/M16560.1	2	1	1989/06/15	2014/03/24	Complete Genome
Bovine coronavirus	11128	PRJNA15385	15385	ssRNA viruses	Coronaviridae	31.028	37.1	vertebrates	 Unknown:NC_003045.1/AF391541.1	10	12	2001/08/02	2015/02/10	Complete Genome
West Nile virus	11082	PRJNA15431	15431	ssRNA viruses	Flaviviridae	10.962	51.1	vertebrates, invertebrates, human	 Unknown:NC_001563.2/M12294.2	1	2	1993/02/16	2016/08/24	Complete Genome
Simian T-lymphotropic virus 1	33747	PRJNA15439	15439	Other	Retroviridae	9.028	53.8	vertebrates	 Unknown:NC_000858.1/AF074966.1	4	4	1999/06/20	2010/03/11	Complete Genome
Xipapillomavirus 1	10561	PRJNA15452	15452	dsDNA viruses, no RNA stage	Papillomaviridae	7.276	43.1	vertebrates	 Unknown:NC_004197.1/AF486184.1	8	8	2002/09/16	2015/02/10	Complete Genome
Human papillomavirus type 49	10616	PRJNA15455	15455	dsDNA viruses, no RNA stage	Papillomaviridae	7.56	41.1	vertebrates, human	 Unknown:NC_001591.1/X74480.1	6	6	1993/08/22	2011/01/07	Complete Genome
Human papillomavirus type 9	10621	PRJNA15456	15456	dsDNA viruses, no RNA stage	Papillomaviridae	7.434	41	vertebrates, human	 Unknown:NC_001596.1/X74464.1	6	7	1993/08/22	2011/02/05	Complete Genome
Human immunodeficiency virus 1	11676	PRJNA15476	15476	Other	Retroviridae	9.181	42.1	vertebrates, human	 Unknown:NC_001802.1/AF033819.3	10	10	1998/01/22	2016/07/26	Complete Genome
Severe acute respiratory syndrome-related coronavirus	694009	PRJNA15500	15500	ssRNA viruses	Coronaviridae	29.751	40.8	vertebrates, human	 Unknown:NC_004718.3/AY274119.3	13	14	2003/04/14	2017/12/19	Complete Genome
Human papillomavirus type 5	333923	PRJNA15511	15511	dsDNA viruses, no RNA stage	Papillomaviridae	7.746	42.4	vertebrates, human	 Unknown:NC_001531.1/M17463.1	8	8	1993/08/02	2016/07/26	Complete Genome
Malvastrum leaf curl betasatellite	339965	PRJNA16301	16301	Satellites	Tolecusatellitidae	1.354	42.8	plants	 Unknown:NC_007711.1/AM072289.1	1	1	2006/01/07	2011/02/04	Complete Genome
Duck hepatitis A virus 1	1006061	PRJNA17347	17347	ssRNA viruses	Picornaviridae	7.711	43.5	vertebrates	 Unknown:NC_008250.2/DQ226541.1	1	1	2006/07/21	2013/06/11	Complete Genome
Canine papillomavirus 3	360397	PRJNA17543	17543	dsDNA viruses, no RNA stage	Papillomaviridae	7.801	51.5	vertebrates	 Unknown:NC_008297.1/DQ295066.1	6	6	2006/08/01	2013/08/14	Complete Genome
Burkholderia virus phi6442	431891	PRJNA17749	17749	dsDNA viruses, no RNA stage	Siphoviridae	48.674	60.4	bacteria	chromosome:NC_009235.2/CP000625.2	71	71	2007/03/27	2012/07/14	Complete Genome
Burkholderia virus phiE122	431892	PRJNA17751	17751	dsDNA viruses, no RNA stage	Myoviridae	36.69	64.6	bacteria	chromosome:NC_009236.1/CP000624.1	50	50	2007/03/27	2012/07/14	Complete Genome
Burkholderia virus phiE202	431893	PRJNA17755	17755	dsDNA viruses, no RNA stage	Myoviridae	35.741	65.4	bacteria	chromosome:NC_009234.1/CP000623.1	48	48	2007/03/27	2012/07/14	Complete Genome
Burkholderia virus phiE255	431894	PRJNA17777	17777	dsDNA viruses, no RNA stage	Myoviridae	37.446	63.1	bacteria	chromosome:NC_009237.1/CP000622.1	55	55	2007/03/27	2012/07/14	Complete Genome
Micromys minutus papillomavirus 1	10568	PRJNA18259	18259	dsDNA viruses, no RNA stage	Papillomaviridae	7.393	43.5	vertebrates	 Unknown:NC_008582.1/DQ269468.1	7	7	2006/11/01	2016/07/26	Complete Genome
Porcine circovirus 2	85708	PRJNA15442	15442	ssDNA viruses	Circoviridae	1.768	48.5	vertebrates	 Unknown:NC_005148.1/AY424401.1	3	3	2003/10/26	2012/06/01	Complete Genome
Coxsackievirus A16	31704	PRJNA15445	15445	ssRNA viruses	Picornaviridae	7.413	47.9	vertebrates, human	 Unknown:NC_001612.1/U05876.1	1	1	1994/03/08	2014/03/24	Complete Genome
Enterobacteria phage Phi1	448384	PRJNA18763	18763	dsDNA viruses, no RNA stage	Myoviridae	164.27	40.5	bacteria	 Unknown:NC_009821.1/EF437941.1	276	276	2007/09/01	2011/08/04	Complete Genome
Enterococcus phage phiEF24C	442493	PRJDA19567	19567	dsDNA viruses, no RNA stage	Myoviridae	142.072	35.7	bacteria	 Unknown:NC_009904.1/AP009390.1	226	221	2007/10/02	2012/08/11	Complete Genome
Rhinovirus C	463676	PRJNA27901	27901	ssRNA viruses	Picornaviridae	7.099	42.8	vertebrates	 Unknown:NC_009996.1/EF582385.1	1	1	2007/11/11	2014/03/24	Complete Genome
Escherichia virus EPS7	491003	PRJNA28123	28123	dsDNA viruses, no RNA stage	Siphoviridae	111.382	39.9	bacteria	chromosome:NC_010583.1/CP000917.1	171	170	2008/04/11	2010/04/14	Complete Genome
Radish leaf curl virus	435646	PRJNA28279	28279	ssDNA viruses	Geminiviridae	2.756	42.3	plants	 Unknown:NC_010238.1/EF175733.1	7	7	2008/01/01	2010/09/03	Complete Genome
Synechococcus phage S-SM2	444860	PRJNA29093	29093	dsDNA viruses, no RNA stage	Myoviridae	190.789	40.4	bacteria	 Unknown:NC_015279.1/GU071095.1	278	267	2010/10/30	2012/07/17	Complete Genome
Synechococcus phage S-SSM5	445685	PRJNA29095	29095	dsDNA viruses, no RNA stage	Myoviridae	176.184	40	bacteria	 Unknown:NC_015289.1/GU071097.1	229	225	2010/10/30	2012/07/17	Complete Genome
Synechococcus phage S-ShM2	445683	PRJNA29097	29097	dsDNA viruses, no RNA stage	Myoviridae	179.563	41.1	bacteria	 Unknown:NC_015281.1/GU071096.1	231	230	2010/10/30	2012/07/17	Complete Genome
Synechococcus phage S-SSM7	445686	PRJNA29099	29099	dsDNA viruses, no RNA stage	Myoviridae	232.878	39.1	bacteria	 Unknown:NC_015287.1/GU071098.1	324	319	2010/10/30	2012/07/17	Complete Genome
Prochlorococcus phage P-RSM4	444862	PRJNA29101	29101	dsDNA viruses, no RNA stage	Myoviridae	176.428	37.6	bacteria	 Unknown:NC_015283.1/GU071099.1	242	239	2010/10/30	2012/07/17	Complete Genome
Prochlorococcus phage P-HM1	445700	PRJNA29103	29103	dsDNA viruses, no RNA stage	Myoviridae	181.044	37.8	bacteria	 Unknown:NC_015280.1/GU071101.1	241	241	2010/10/30	2012/07/17	Complete Genome
Prochlorococcus phage P-HM2	445696	PRJNA29105	29105	dsDNA viruses, no RNA stage	Myoviridae	183.806	38.1	bacteria	 Unknown:NC_015284.1/GU075905.1	242	242	2010/10/30	2012/07/17	Complete Genome
Prochlorococcus phage P-SSM7	445688	PRJNA29113	29113	dsDNA viruses, no RNA stage	Myoviridae	182.18	37.1	bacteria	 Unknown:NC_015290.1/GU071103.1	241	237	2010/10/30	2012/07/17	Complete Genome
Prochlorococcus phage Syn1	444861	PRJNA29117	29117	dsDNA viruses, no RNA stage	unclassified	191.195	40.6	bacteria	 Unknown:NC_015288.1/GU071105.1	240	234	2010/10/30	2012/07/17	Complete Genome
Iodobacteriophage phiPLPE	551895	PRJNA30463	30463	dsDNA viruses, no RNA stage	Myoviridae	47.453	46.1	bacteria	 Unknown:NC_011142.1/EU876853.1	84	84	2008/08/13	2012/07/18	Complete Genome
Tursiops truncatus papillomavirus 1	936059	PRJNA30875	30875	dsDNA viruses, no RNA stage	Papillomaviridae	8.089	42	vertebrates	 Unknown:NC_011109.1/EU240894.1	7	7	2008/07/30	2016/07/27	Complete Genome
Synechococcus phage S-RSM4	555387	PRJEA30947	30947	dsDNA viruses, no RNA stage	Myoviridae	194.454	41.1	bacteria	 Unknown:NC_013085.1/FM207411.1	249	237	2009/08/10	2011/02/04	Complete Genome
Astrovirus MLB1	568715	PRJNA32327	32327	ssRNA viruses	Astroviridae	6.171	40.9	vertebrates	 Unknown:NC_011400.1/FJ222451.1	3	3	2008/10/21	2016/07/27	Complete Genome
Tobacco yellow crinkle virus	565052	PRJNA67693	67693	ssDNA viruses	Geminiviridae	5.154	42.7196	plants	 DNA A:NC_015627.1/FJ213931.1;  DNA B:NC_015628.1/HQ896204.1	7	7	2008/10/14	2015/02/10	Complete Genome
Caretta caretta papillomavirus 1	485241	PRJNA32633	32633	dsDNA viruses, no RNA stage	Papillomaviridae	7.02	47.1	vertebrates	 Unknown:NC_011530.1/EU493092.1	7	7	2008/11/06	2013/08/14	Complete Genome
Porcine kobuvirus	1156769	PRJNA284019	284019	ssRNA viruses	Picornaviridae	8.121	52.2	vertebrates	 Unknown:NC_027054.1/KP260507.1	1	1	2015/05/04	2015/05/14	Complete Genome
Human papillomavirus type 112	915427	PRJNA36517	36517	dsDNA viruses, no RNA stage	Papillomaviridae	7.227	37.5	vertebrates	 Unknown:NC_012486.1/EU541442.1	7	7	2009/03/31	2010/12/12	Complete Genome
Cyanophage PSS2	658401	PRJNA39613	39613	dsDNA viruses, no RNA stage	Siphoviridae	107.53	52.3	bacteria	 Unknown:NC_013021.1/GQ334450.1	131	131	2009/07/22	2009/11/23	Complete Genome
Enterococcus phage phiEf11	663241	PRJNA39721	39721	dsDNA viruses, no RNA stage	Siphoviridae	42.822	34.4	bacteria	 Unknown:NC_013696.1/GQ452243.1	65	65	2009/09/21	2012/07/23	Complete Genome
Enterobacteria phage 285P	669008	PRJNA64539	64539	dsDNA viruses, no RNA stage	Podoviridae	39.27	48.7	bacteria	 Unknown:NC_015249.1/GQ468526.1	47	47	2010/03/01	2011/04/29	Complete Genome
Colwellia phage 9A	765765	PRJNA42179	42179	dsDNA viruses, no RNA stage	Siphoviridae	104.936	36.6	bacteria	 Unknown:NC_018088.1/HQ317390.1	149	149	2012/05/30	2013/08/22	Complete Genome
uncultured virus	340016		0	Other	Other	2.129	17.55	-	KX246255.1	-	2	2016/11/08	2016/11/08	Complete Genome
Synechococcus phage S-RIM2 R1_1999	869662	PRJNA47643	47643	dsDNA viruses, no RNA stage	Myoviridae	175.43	42.2	bacteria	 Unknown:NC_020859.1/HQ317292.1	216	210	2013/03/17	2014/04/16	Complete Genome
Synechococcus phage Syn19	445684	PRJNA29119	29119	dsDNA viruses, no RNA stage	Myoviridae	175.23	41.3	bacteria	 Unknown:NC_015286.1/GU071106.1	221	215	2010/10/30	2012/07/17	Complete Genome
Prochlorococcus phage Syn33	444878	PRJNA29123	29123	dsDNA viruses, no RNA stage	Myoviridae	174.285	39.6	bacteria	 Unknown:NC_015285.1/GU071108.1	232	227	2010/10/30	2012/07/17	Complete Genome
Synechococcus phage S-SM1	444859	PRJNA29125	29125	dsDNA viruses, no RNA stage	Myoviridae	174.079	41.1	bacteria	 Unknown:NC_015282.1/GU071094.1	240	234	2010/10/30	2012/07/17	Complete Genome
Enterobacteria phage 13a	532076	PRJNA29819	29819	dsDNA viruses, no RNA stage	Podoviridae	38.841	48.4	bacteria	 Unknown:NC_011045.1/EU734174.1	55	55	2008/07/02	2012/07/18	Complete Genome
Enterobacteria phage BA14	532074	PRJNA29821	29821	dsDNA viruses, no RNA stage	Podoviridae	39.816	48.8	bacteria	 Unknown:NC_011040.1/EU734171.1	52	52	2008/07/02	2009/04/17	Complete Genome
Enterobacteria phage EcoDS1	532075	PRJNA29823	29823	dsDNA viruses, no RNA stage	Podoviridae	39.252	49.9	bacteria	 Unknown:NC_011042.1/EU734172.1	53	53	2008/07/02	2012/07/18	Complete Genome
Klebsiella phage K11	532077	PRJNA29825	29825	dsDNA viruses, no RNA stage	Podoviridae	41.181	53.2	bacteria	 Unknown:NC_011043.1/EU734173.1	51	51	2008/07/02	2012/07/18	Complete Genome
Yersinia phage Yepe2	532078	PRJNA29827	29827	dsDNA viruses, no RNA stage	Podoviridae	38.677	47.3	bacteria	 Unknown:NC_011038.1/EU734170.1	46	46	2008/07/02	2011/02/14	Complete Genome
Synechococcus phage S-RIM8 A.HR1	869724	PRJNA47623	47623	dsDNA viruses, no RNA stage	Myoviridae	171.211	40.6	bacteria	 Unknown:NC_020486.1/JF974288.1	219	211	2012/02/16	2013/03/12	Complete Genome
Human papillomavirus type 103	338323	PRJNA17119	17119	dsDNA viruses, no RNA stage	Papillomaviridae	7.263	41.6	vertebrates	 Unknown:NC_008188.1/DQ080078.1	6	6	2006/05/31	2010/03/26	Complete Genome
Synechococcus phage S-CAM8	754038	PRJNA47617	47617	dsDNA viruses, no RNA stage	Myoviridae	171.407	39.3	bacteria	 Unknown:NC_021530.1/HQ634178.1	209	204	2013/06/10	2014/04/16	Complete Genome
Wiseana iridescent virus	68347	PRJNA69999	69999	dsDNA viruses, no RNA stage	Iridoviridae	205.791	30.9	invertebrates	 Unknown:NC_015780.1/GQ918152.1	193	193	2011/07/06	2011/07/21	Complete Genome
Bell pepper alphaendornavirus	354328	PRJNA70001	70001	dsRNA viruses	Endornaviridae	14.728	40.4	plants	 Unknown:NC_015781.2/JN019858.1	1	1	2011/07/14	2011/10/19	Complete Genome
Grapevine vein clearing virus	1050407	PRJNA70007	70007	Other	Caulimoviridae	7.753	46.6	plants	 Unknown:NC_015784.2/JF301669.2	3	3	2011/07/03	2013/05/16	Complete Genome
Tembusu virus	64293	PRJNA70159	70159	ssRNA viruses	Flaviviridae	10.99	49	vertebrates, invertebrates, human	 Unknown:NC_015843.2/JF895923.2	1	1	2011/07/13	2016/12/28	Complete Genome
Measles morbillivirus	11234	PRJNA15025	15025	ssRNA viruses	Paramyxoviridae	15.894	47.4	vertebrates, human	 Unknown:NC_001498.1/AB016162.1	6	8	1998/12/09	2013/03/07	Complete Genome
Rubella virus	11041	PRJNA15315	15315	ssRNA viruses	Togaviridae	9.762	69.6	vertebrates, human	 Unknown:NC_001545.2/M15240.2	2	2	1993/08/03	2015/02/10	Complete Genome
Nam Dinh virus	325676	PRJNA71143	71143	ssRNA viruses	Mesoniviridae	20.192	37.6	invertebrates	 Unknown:NC_015874.1/DQ458789.2	6	6	2007/04/01	2012/05/03	Complete Genome
Baboon orthoreovirus	75888	PRJNA71165	71165	dsRNA viruses	Reoviridae	22.435	37.7922	vertebrates	 L1:NC_015877.1/HQ847903.1;  L2:NC_015878.1/HQ847904.1;  L3:NC_015879.1/HQ847905.1;  M1:NC_015880.1/HQ847906.1;  M2:NC_015881.1/HQ847907.1;  M3:NC_015882.1/HQ847908.1;  S1:NC_015883.1/AF059719.1;  S2:NC_015884.1/AF059723.1;  S3:NC_015886.1/AF059727.1;  S4:NC_015885.1/AF406787.1	11	11	1998/06/02	2011/08/06	Complete Genome
Thermus phage phiYS40	407392	PRJNA18277	18277	dsDNA viruses, no RNA stage	Myoviridae	152.372	32.6	bacteria	 Unknown:NC_008584.1/DQ997624.1	170	170	2006/10/23	2010/03/26	Complete Genome
Grapevine Pinot gris virus	1051792	PRJNA70003	70003	ssRNA viruses	Betaflexiviridae	7.275	39.2	plants	 Unknown:NC_015782.1/FR877530.1	3	3	2011/07/04	2012/02/17	Complete Genome
Torque teno virus	68887	PRJNA15247	15247	ssDNA viruses	Anelloviridae	3.852	49.1	vertebrates, human	 Unknown:NC_002076.2/AB041007.1	3	3	1998/03/13	2010/04/28	Complete Genome
Canine calicivirus	74724	PRJNA14875	14875	ssRNA viruses	Caliciviridae	8.513	45.9	vertebrates	 Unknown:NC_004542.1/AB070225.1	3	3	2002/01/05	2015/02/10	Complete Genome
Bat adenovirus 2	696069	PRJNA72369	72369	dsDNA viruses, no RNA stage	Adenoviridae	31.616	53.5	vertebrates	 Unknown:NC_015932.1/JN252129.1	30	30	2011/08/15	2012/02/03	Complete Genome
Escherichia phage vB_EcoP_G7C	1054461	PRJNA72371	72371	dsDNA viruses, no RNA stage	Podoviridae	72.917	43.4	bacteria	 Unknown:NC_015933.1/HQ259105.1	79	79	2011/08/10	2013/04/04	Complete Genome
Bat picornavirus 3	1074865	PRJNA72379	72379	ssRNA viruses	Picornaviridae	7.749	50.2	vertebrates	 Unknown:NC_015934.1/HQ595344.1	1	1	2011/08/16	2011/09/02	Complete Genome
Mouse astrovirus M-52/USA/2008	1074210	PRJNA72381	72381	ssRNA viruses	Astroviridae	6.543	39.2	vertebrates	 Unknown:NC_015935.1/JF755422.1	2	2	2011/08/15	2011/09/27	Complete Genome
Salmonella phage 7-11	1054968	PRJNA72387	72387	dsDNA viruses, no RNA stage	Podoviridae	89.916	44.1	bacteria	 Unknown:NC_015938.1/HM997019.1	157	151	2011/07/30	2011/09/02	Complete Genome
Bat picornavirus 1	1074863	PRJNA72391	72391	ssRNA viruses	Picornaviridae	7.753	44.8	vertebrates	 Unknown:NC_015940.1/HQ595340.1	1	1	2011/08/16	2011/09/02	Complete Genome
Bat picornavirus 2	1074864	PRJNA72393	72393	ssRNA viruses	Picornaviridae	7.693	43.1	vertebrates	 Unknown:NC_015941.1/HQ595342.1	1	1	2011/08/16	2011/09/02	Complete Genome
Thermus phage TMA	699370	PRJDA42491	42491	dsDNA viruses, no RNA stage	Myoviridae	151.483	32.6	bacteria	 Unknown:NC_015937.1/AP011617.1	171	168	2011/07/28	2012/07/23	Complete Genome
Vernonia yellow vein Fujian virus alphasatellite	1072178	PRJNA72145	72145	Satellites	Alphasatellitidae	1.343	39.7	plants	 Unknown:NC_015929.1/JF733780.1	1	1	2011/08/07	2011/08/12	Complete Genome
Yokapox virus	1076255	PRJNA72715	72715	dsDNA viruses, no RNA stage	Poxviridae	175.699	25.6	vertebrates	 Unknown:NC_015960.1/HQ849551.1	186	186	2011/08/30	2011/08/31	Complete Genome
Carrot mottle virus	68033	PRJNA72859	72859	ssRNA viruses	Tombusviridae	4.193	54	plants	 Unknown:NC_011515.1/FJ188473.1	4	4	2008/11/01	2017/11/24	Complete Genome
Tamus red mosaic virus	1081702	PRJNA73083	73083	ssRNA viruses	Alphaflexiviridae	6.495	48.7	plants	 Unknown:NC_016003.1/JN389521.1	5	5	2011/09/12	2014/03/17	Complete Genome
Morelia spilota papillomavirus 1	1081054	PRJNA73439	73439	dsDNA viruses, no RNA stage	Papillomaviridae	7.048	40.9	vertebrates	 Unknown:NC_016013.1/HQ262535.1	7	7	2011/09/20	2016/07/26	Complete Genome
Canis familiaris papillomavirus 8	1081055	PRJNA73441	73441	dsDNA viruses, no RNA stage	Papillomaviridae	7.784	51.2	vertebrates	 Unknown:NC_016014.1/HQ262536.1	7	7	2011/09/20	2011/09/26	Complete Genome
Porcine bocavirus 3	1084715	PRJNA73547	73547	ssDNA viruses	Parvoviridae	5.278	50.4	vertebrates	 Unknown:NC_016031.1/JF429834.1	4	4	2011/09/18	2011/09/26	Complete Genome
Porcine bocavirus 4-1	1084717	PRJNA73549	73549	ssDNA viruses	Parvoviridae	5.177	51.3	vertebrates	 Unknown:NC_016032.1/JF429835.1	4	4	2011/09/18	2011/09/26	Complete Genome
Soybean yellow common mosaic virus	1080798	PRJNA73551	73551	ssRNA viruses	Solemoviridae	4.152	50.6	plants	 Unknown:NC_016033.1/JF495127.1	5	5	2011/09/17	2013/12/19	Complete Genome
Brassica yellows virus	1046403	PRJNA73689	73689	ssRNA viruses	Luteoviridae	5.666	48.3	plants	 Unknown:NC_016038.1/HQ388348.1	7	7	2011/09/22	2015/12/09	Complete Genome
Lassa mammarenavirus	11620	PRJNA14864	14864	ssRNA viruses	Arenaviridae	10.681	42.0874	vertebrates, human	 segment L:NC_004297.1/U73034.2;  segment S:NC_004296.1/J04324.1	4	4	1989/06/15	2015/10/20	Complete Genome
Leuconostoc phage L5	440576		0	unclassified phages	unclassified	2.435	33.3	bacteria	L06183.1	-	-	1993/06/11	2007/05/02	Complete Genome
Cyanophage NATL1A-7	445693	PRJNA29115	29115	dsDNA viruses, no RNA stage	Podoviridae	47.741	38.7	bacteria	 Unknown:NC_016658.1/GU071102.1	69	65	2010/10/30	2012/07/17	Complete Genome
Cyanophage P-SSP2	444876	PRJNA29121	29121	dsDNA viruses, no RNA stage	unclassified	45.89	37.9	bacteria	 Unknown:NC_016656.1/GU071107.1	59	56	2010/10/30	2014/04/16	Complete Genome
Cyanophage 9515-10a	444875	PRJNA31171	31171	dsDNA viruses, no RNA stage	Podoviridae	47.055	39.2	bacteria	 Unknown:NC_016657.1/GU071100.1	56	55	2010/10/30	2016/07/26	Complete Genome
Cyanophage NATL2A-133	445692	PRJNA31173	31173	dsDNA viruses, no RNA stage	Podoviridae	47.536	39.9	bacteria	 Unknown:NC_016659.1/GU071104.1	66	62	2010/10/30	2012/07/19	Complete Genome
Escherichia phage AR1	66711	PRJNA32381	32381	dsDNA viruses, no RNA stage	Myoviridae	167.435	35.3	bacteria	 Unknown:NC_027983.1/AP011113.1	291	281	2010/03/20	2015/10/10	Complete Genome
Escherichia phage vB_EcoM_ECO1230-10	669875	PRJNA40177	40177	dsDNA viruses, no RNA stage	Myoviridae	41.666	53.4	bacteria	 Unknown:NC_027995.1/GU903191.1	56	56	2010/04/14	2015/10/08	Complete Genome
Cyanophage S-SSM6a	682650		0	dsDNA viruses, no RNA stage	Myoviridae	232.883	39.1	bacteria	HQ317391.1	310	304	2013/03/17	2013/03/17	Complete Genome
Cyanophage S-SSM6b	682651		0	dsDNA viruses, no RNA stage	Myoviridae	182.368	39.4	bacteria	HQ316603.1	221	218	2013/03/10	2013/03/10	Complete Genome
Prochlorococcus phage P-SSP10	885867	PRJNA52443	52443	dsDNA viruses, no RNA stage	Podoviridae	47.325	39.2	bacteria	 Unknown:NC_020835.1/HQ337022.1	52	49	2013/03/10	2013/03/30	Complete Genome
Vibrio phage pYD38-B	929835	PRJNA60461	60461	dsDNA viruses, no RNA stage	Siphoviridae	37.324	43.1	bacteria	 Unknown:NC_021561.1/JF974313.1	57	57	2013/06/10	2013/07/14	Complete Genome
Rhizobium phage RR1-B	929834	PRJNA60463	60463	dsDNA viruses, no RNA stage	Myoviridae	37.378	58.3	bacteria	 Unknown:NC_021557.1/JF974315.1	52	52	2013/06/10	2013/07/14	Complete Genome
